ngram,count,rate_per_10000
fyodor pavlovitch,257,19.166660451796222
old man,181,13.498698606128857
dmitri fyodorovitch,165,12.3054434807252
katerina ivanovna,161,12.007129699374286
don't know,139,10.36640390194426
alexey fyodorovitch,110,8.203628987150134
nikolay parfenovitch,97,7.234109197759664
pyotr ilyitch,89,6.637481635057836
madame hohlakov,79,5.89169718168055
young man,79,5.89169718168055
father zossima,78,5.817118736342823
thousand roubles,73,5.44422650965418
don't want,66,4.922177392290081
father païssy,66,4.922177392290081
long time,59,4.400128274925981
cried mitya,54,4.027236048237339
ivan fyodorovitch,49,3.6543438215486956
gentlemen jury,44,3.2814515948600538
fyodor pavlovitch's,42,3.1322947041845968
thou didst,39,2.9085593681714115
